neutral,happy,sad,surprise,fear,disgust,anger,contempt,scene_entropy
0,0,0.178514841,0,0,0,0.321887582,0,0.500402424
0.363931305,0,0.16457489,0,0,0,0.340307404,0,0.868813599
nan,nan,nan,nan,nan,nan,nan,nan,0
0,0,0.07824046,0,0,0,0.019798653,0,0.098039113
0,0,0.116839969,0,0.108304247,0,0.221917839,0,0.447062054
0.350949022,0,0.30816943,0,0,0,0.325276218,0,0.984394669
0.169900629,0,0.271695022,0,0.231602714,0,0.195470972,0,0.868669337
0,0,0.083061189,0,0,0,0.212378003,0,0.295439192
nan,nan,nan,nan,nan,nan,nan,nan,0
0,0,0.30420867,0,0.302178974,0,0.33175137,0,0.938139015
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
0,0,0.104696032,0,0,0,0.244136064,0,0.348832096
0,0,0.169900629,0,0,0,0.058731244,0,0.228631874
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0.34657359,0,0,0,0.215761554,0,0.562335145
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
0.366516293,0,0.321887582,0,0,0,0.366516293,0,1.054920168
0,0,0.367649865,0,0,0,0.296878573,0,0.664528439
0.264218431,0,0,0,0,0,0.120324488,0,0.38454292
0,0,0,0,0,0,0,0,0
0.202564769,0.126031825,0.202564769,0,0,0,0.178084258,0,0.709245621
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
0.207075554,0.34657359,0.364778641,0,0,0,0.34657359,0,1.265001375
0.268653736,0,0.230258509,0,0,0,0.20370576,0,0.702618006
0.270310072,0,0.366204096,0,0,0,0,0,0.636514168
0.217990479,0,0,0,0,0,0.086645618,0,0.304636097
nan,nan,nan,nan,nan,nan,nan,nan,0
0.321887582,0,0,0,0,0,0.178514841,0,0.500402424
0,0,0,0,0,0,0,0,0
nan,nan,nan,nan,nan,nan,nan,nan,0
0,0,0,0,0,0,0,0,0
0.187780043,0,0.043353067,0,0,0,0.076937373,0,0.308070482
0,0,0,0,0,0,0,0,0
0.224418227,0.300767581,0,0.028467137,0,0,0.21306207,0,0.766715016
nan,nan,nan,nan,nan,nan,nan,nan,0
0.365469009,0.33089115,0.039764728,0.280210417,0.304478619,0,0.140895926,0,1.46170985
0.366204096,0,0.298626578,0,0,0,0.34657359,0,1.011404265
0.07824046,0,0.221347277,0,0,0,0.106653734,0,0.406241471
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
0.321887582,0,0.249672461,0,0,0,0.230258509,0,0.801818553
nan,nan,nan,nan,nan,nan,nan,nan,0
0.366980691,0,0.23667709,0,0,0,0.327794627,0,0.931452408
0,0,0.160576209,0,0,0,0.053982946,0,0.214559155
0.367469494,0.056413057,0.177556332,0,0.094822292,0,0.330619529,0,1.026880704
0.105954775,0,0.105954775,0,0,0,0.058731244,0,0.270640794
0.363704926,0.25079033,0.367736283,0,0,0,0.328670568,0,1.310902107
0.285919644,0,0.169900629,0,0,0,0.187838988,0,0.643659261
nan,nan,nan,nan,nan,nan,nan,nan,0
0.199231584,0,0.336728305,0,0,0,0,0,0.535959889
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
0,0,0,0,0,0,0,0,0
0.321887582,0,0.178514841,0,0,0,0,0,0.500402424
nan,nan,nan,nan,nan,nan,nan,nan,0
0.067391375,0,0,0.067391375,0.248438459,0,0.136078157,0,0.519299366
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
0,0,0,0,0,0,0,0,0
0.225410207,0.367089547,0.219152549,0,0,0,0.355372796,0,1.167025099
0.361867355,0.158657503,0.349280011,0,0,0,0.072860603,0,0.942665473
0.365236882,0.354349905,0.265093549,0,0,0,0.354349905,0,1.339030241
0.18786327,0.028467137,0.098361974,0,0,0,0.098238442,0,0.412930823
nan,nan,nan,nan,nan,nan,nan,nan,0
0.366516293,0,0.306495374,0,0,0,0,0,0.673011667
0.178045377,0,0.352764712,0,0,0,0.357967351,0,0.888777439
0,0,0,0,0,0,0,0,0
0.111662217,0,0,0,0,0,0.253360917,0,0.365023134
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
0,0,0,0,0,0,0,0,0
0.328718011,0.333414947,0.088223625,0.096133792,0.062051584,0,0.312370842,0,1.220912802
0.208163026,0.228413917,0.133692997,0,0,0,0.228413917,0,0.798683856
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
0.361468133,0,0.058773417,0,0,0,0.259203038,0,0.679444588
0.104822252,0.193675724,0.104822252,0,0,0,0.124872796,0,0.528193024
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
0.201818665,0,0.197303797,0,0,0,0.287969566,0,0.687092027
nan,nan,nan,nan,nan,nan,nan,nan,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.084247573,0,0.09914528,0,0.346036212,0,0.248604215,0,0.77803328
0,0,0,0,0,0,0,0,0
0.126612091,0,0.271695022,0,0,0,0,0,0.398307114
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
0.22635567,0.312088115,0.278125118,0,0,0,0.318162292,0,1.134731196
nan,nan,nan,nan,nan,nan,nan,nan,0
0.14050193,0.217990479,0.14050193,0,0,0,0.164185114,0,0.663179453
0,0,0,0,0,0,0,0,0
0,0,0.166659608,0,0,0,0.057058468,0,0.223718076
0.268653736,0,0,0,0,0,0.124020731,0,0.392674467
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
0.07824046,0,0.112493367,0,0,0,0.230258509,0,0.420992336
0.132129154,0,0.277987164,0,0,0,0,0,0.410116318
0.364778641,0.298626578,0,0,0,0,0.364778641,0,1.028183859
0.18662272,0,0.236978084,0,0,0,0.236978084,0,0.660578888
0,0,0,0,0,0,0,0,0
0.310873193,0,0.08600431,0,0.08600431,0,0.367854877,0,0.85073669
0.357932277,0.277987164,0.357932277,0,0.357932277,0,0,0,1.351783994
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan,nan,0
0.273241582,0.170411797,0.153198141,0,0,0,0,0,0.59685152
nan,nan,nan,nan,nan,nan,nan,nan,0
