scene_number,neutral,happy,sad,surprise,fear,disgust,anger,contempt
1,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0
2,0.4230769230769231,0.0,0.057692307692307696,0.0,0.0,0.0,0.5192307692307693,0.0
3,nan,nan,nan,nan,nan,nan,nan,nan
4,0.0,0.0,0.02,0.0,0.0,0.0,0.98,0.0
5,0.0,0.0,0.875,0.0,0.03125,0.0,0.09375,0.0
6,0.2620689655172414,0.0,0.1793103448275862,0.0,0.0,0.0,0.5586206896551724,0.0
7,0.06060606060606061,0.0,0.13636363636363635,0.0,0.7272727272727273,0.0,0.07575757575757576,0.0
8,0.0,0.0,0.9130434782608695,0.0,0.0,0.0,0.08695652173913043,0.0
9,nan,nan,nan,nan,nan,nan,nan,nan
10,0.0,0.0,0.17391304347826086,0.0,0.6086956521739131,0.0,0.21739130434782608,0.0
11,nan,nan,nan,nan,nan,nan,nan,nan
12,nan,nan,nan,nan,nan,nan,nan,nan
13,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.1111111111111111,0.0
14,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.9393939393939394,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0
18,nan,nan,nan,nan,nan,nan,nan,nan
19,nan,nan,nan,nan,nan,nan,nan,nan
20,nan,nan,nan,nan,nan,nan,nan,nan
21,nan,nan,nan,nan,nan,nan,nan,nan
22,nan,nan,nan,nan,nan,nan,nan,nan
23,nan,nan,nan,nan,nan,nan,nan,nan
24,nan,nan,nan,nan,nan,nan,nan,nan
25,0.4,0.0,0.2,0.0,0.0,0.0,0.4,0.0
26,0.0,0.0,0.38095238095238093,0.0,0.0,0.0,0.6190476190476191,0.0
27,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.8709677419354839,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29,0.08033240997229917,0.038781163434903045,0.08033240997229917,0.0,0.0,0.0,0.8005540166204986,0.0
