scene_number,start_frame,scene_len,andy,bogs,norton,red,brooks
1,0,293,0,0,0,0,0
2,293,235,0,0,0,0,0
3,528,42,0,0,0,0,0
4,570,66,0,0,0,0,0
5,636,74,0,0,0,0,0
6,710,350,0,0,0,0,0
7,1060,244,0,0,0,0,0
8,1304,236,0,0,0,0,0
9,1540,120,0,0,0,0,0
10,1660,299,0,0,0,0,0
11,1959,630,0,0,0,0,0
12,2589,351,0,0,0,0,0
13,2940,537,0,0,0,0,0
14,3477,478,0,0,0,0,0
15,3955,427,0,0,0,0,0
16,4382,49,0,0,0,0,0
17,4431,39,0,0,0,0,0
18,4470,286,0,0,0,0,0
19,4756,1,0,0,0,0,0
20,4757,123,0,0,0,0,0
21,4880,694,0,0,0,0,0
22,5574,74,0,0,0,0,0
23,5648,195,0,0,0,0,0
24,5843,933,0,0,0,0,0
25,6776,196,0,0,0,0,0
26,6972,54,0,0,0,0,0
27,7026,1339,0,0,0,6,0
28,8365,229,0,0,0,0,0
29,8594,88,0,0,0,0,0
30,8682,259,0,0,0,0,0
31,8941,88,0,0,0,0,0
32,9029,357,0,0,0,0,0
33,9386,87,0,0,0,0,0
34,9473,38,0,0,0,0,0
35,9511,109,0,0,0,0,0
36,9620,104,0,0,0,0,0
37,9724,45,0,0,0,0,0
38,9769,69,0,0,0,0,0
39,9838,1040,0,0,0,0,0
40,10878,436,0,0,0,0,0
41,11314,405,0,0,0,0,0
42,11719,272,0,0,0,0,0
43,11991,472,0,0,0,0,0
44,12463,31,0,0,0,0,0
45,12494,517,0,0,0,0,0
46,13011,82,0,0,0,0,0
47,13093,255,0,0,0,0,0
48,13348,57,0,0,0,0,0
49,13405,126,0,0,0,0,0
50,13531,338,0,0,0,0,0
51,13869,97,0,0,0,0,0
52,13966,166,0,0,0,0,0
53,14132,103,0,0,0,0,0
54,14235,832,0,0,0,0,0
55,15067,184,0,0,0,0,0
56,15251,389,0,0,0,0,0
57,15640,325,0,0,0,0,0
58,15965,372,0,0,0,0,0
59,16337,137,0,0,0,0,0
60,16474,26,0,0,0,0,0
61,16500,41,0,0,0,0,0
62,16541,67,0,0,0,0,0
63,16608,33,0,0,0,0,0
64,16641,189,0,0,0,0,0
65,16830,55,0,0,0,0,0
66,16885,5,0,0,0,0,0
67,16890,433,0,0,0,0,0
68,17323,474,0,0,0,0,0
69,17797,169,0,0,0,0,0
70,17966,126,0,0,0,0,0
71,18092,49,0,0,0,0,0
72,18141,177,0,0,0,0,0
73,18318,97,0,0,0,0,0
74,18415,123,0,0,0,0,0
75,18538,115,0,0,0,0,0
76,18653,132,0,0,0,0,0
77,18785,475,0,0,0,0,0
78,19260,129,0,0,0,0,0
79,19389,454,0,0,0,0,0
80,19843,835,0,0,0,0,0
81,20678,300,0,0,0,0,0
82,20978,589,0,0,0,0,0
83,21567,259,0,0,0,0,0
84,21826,350,0,0,0,0,0
85,22176,455,0,0,0,0,0
86,22631,87,0,0,0,0,0
87,22718,304,0,0,0,0,0
88,23022,94,0,0,0,0,0
89,23116,206,0,0,0,0,0
90,23322,341,0,0,0,0,0
91,23663,338,0,0,0,0,0
92,24001,688,0,0,0,0,0
93,24689,165,0,0,0,0,0
94,24854,73,0,0,0,0,0
95,24927,108,0,0,0,0,0
96,25035,399,0,0,0,0,0
97,25434,323,0,0,0,0,0
98,25757,49,0,0,0,0,0
99,25806,39,0,0,0,0,0
100,25845,60,0,0,0,0,0
101,25905,214,0,0,0,0,0
102,26119,372,0,0,0,0,0
103,26491,206,0,0,0,0,0
104,26697,326,0,0,0,0,0
105,27023,289,0,0,0,0,0
106,27312,552,0,0,0,0,0
107,27864,336,0,0,0,0,0
108,28200,145,0,0,0,0,0
109,28345,64,0,0,0,0,0
110,28409,686,0,0,0,0,0
111,29095,50,0,0,0,0,0
112,29145,55,0,0,0,0,0
113,29200,651,0,0,0,0,0
114,29851,2024,0,0,0,0,0
115,31875,261,0,0,0,0,0
116,32136,324,0,0,0,0,0
117,32460,58,0,0,0,0,0
118,32518,52,0,0,0,0,0
119,32570,324,0,0,0,0,0
120,32894,307,0,0,0,0,0
121,33201,84,0,0,0,0,0
122,33285,66,0,0,0,0,0
123,33351,664,0,0,0,0,0
124,34015,131,0,0,0,0,0
125,34146,66,0,0,0,0,0
126,34212,271,0,0,0,0,0
127,34483,58,0,0,0,0,0
128,34541,190,0,0,0,0,0
129,34731,39,0,0,0,0,0
130,34770,67,0,0,0,0,0
131,34837,183,0,0,0,0,0
132,35020,351,0,0,0,0,0
133,35371,145,0,0,0,0,0
134,35516,321,0,0,0,0,0
135,35837,29,0,0,0,0,0
136,35866,63,0,0,0,0,0
137,35929,220,0,0,0,0,0
138,36149,66,0,0,0,0,0
139,36215,67,0,0,0,0,0
140,36282,26,0,0,0,0,0
141,36308,130,0,0,0,0,0
142,36438,78,0,0,0,0,0
143,36516,99,0,0,0,0,0
144,36615,291,0,0,0,0,0
145,36906,144,0,0,0,0,0
146,37050,65,0,0,0,0,0
147,37115,299,0,0,0,0,0
148,37414,775,0,0,0,0,0
149,38189,193,0,0,0,0,0
150,38382,103,0,0,0,0,0
151,38485,518,0,0,0,0,0
152,39003,623,0,0,0,0,0
153,39626,972,0,0,0,0,0
154,40598,121,0,0,0,0,0
155,40719,75,0,0,0,0,0
156,40794,178,0,0,0,0,0
157,40972,206,0,0,0,0,0
