andyface_resize_frame00245.jpg:anger,nortonface_norton_frame03603.jpg:fear,face_bogs_frame06804.jpg:fear,face_red_frame01728.jpg:anger,,,,Andy,,∫Ò¿≤
andyface_resize_frame00247.jpg:fear,nortonface_norton_frame03604.jpg:fear,face_bogs_frame06805.jpg:anger,face_red_frame01729.jpg:anger,,,,anger,1662,29.50470442
andyface_resize_frame00252.jpg:anger,nortonface_norton_frame03605.jpg:happy,face_bogs_frame06809.jpg:fear,face_red_frame01730.jpg:anger,,,,disgust,717,12.72856382
andyface_resize_frame00254.jpg:fear,nortonface_norton_frame03606.jpg:happy,face_bogs_frame06811.jpg:surprise,face_red_frame01734.jpg:anger,,,,fear,2537,45.03816794
andyface_resize_frame00271.jpg:fear,nortonface_norton_frame03607.jpg:fear,face_bogs_frame06812.jpg:fear,face_red_frame01735.jpg:anger,,,,happy,333,5.911592402
andyface_resize_frame00293.jpg:anger,nortonface_norton_frame03608.jpg:fear,face_bogs_frame06813.jpg:fear,face_red_frame01738.jpg:fear,,,,surprise,379,6.72820877
andyface_resize_frame00294.jpg:disgust,nortonface_norton_frame03609.jpg:fear,face_bogs_frame06844.jpg:fear,face_red_frame01739.jpg:anger,,,,sadness,5,0.088762649
andyface_resize_frame00295.jpg:anger,nortonface_norton_frame03610.jpg:fear,face_bogs_frame06845.jpg:happy,face_red_frame01740.jpg:anger,,,,,5633,
andyface_resize_frame00296.jpg:disgust,nortonface_norton_frame03611.jpg:disgust,face_bogs_frame06846.jpg:fear,face_red_frame01741.jpg:fear,,,,Norton,,
andyface_resize_frame00297.jpg:disgust,nortonface_norton_frame03612.jpg:fear,face_bogs_frame06847.jpg:fear,face_red_frame01743.jpg:anger,,,,anger,135,16.07142857
andyface_resize_frame00298.jpg:anger,nortonface_norton_frame03613.jpg:happy,face_bogs_frame06848.jpg:fear,face_red_frame01745.jpg:anger,,,,disgust,121,14.4047619
andyface_resize_frame00299.jpg:anger,nortonface_norton_frame03614.jpg:happy,face_bogs_frame06849.jpg:fear,face_red_frame01747.jpg:anger,,,,fear,500,59.52380952
andyface_resize_frame00300.jpg:anger,nortonface_norton_frame03615.jpg:fear,face_bogs_frame06850.jpg:fear,face_red_frame01748.jpg:anger,,,,happy,31,3.69047619
andyface_resize_frame00301.jpg:anger,nortonface_norton_frame03616.jpg:fear,face_bogs_frame06851.jpg:fear,face_red_frame01749.jpg:fear,,,,surprise,53,6.30952381
andyface_resize_frame00302.jpg:anger,nortonface_norton_frame03617.jpg:fear,face_bogs_frame06852.jpg:fear,face_red_frame01751.jpg:fear,,,,sadness,0,0
andyface_resize_frame00303.jpg:anger,nortonface_norton_frame03618.jpg:anger,face_bogs_frame06853.jpg:fear,face_red_frame01752.jpg:fear,,,,,840,
andyface_resize_frame00304.jpg:disgust,nortonface_norton_frame03619.jpg:fear,face_bogs_frame06854.jpg:fear,face_red_frame01761.jpg:fear,,,,Bogs,,
andyface_resize_frame00305.jpg:disgust,nortonface_norton_frame03620.jpg:disgust,face_bogs_frame06855.jpg:fear,face_red_frame01763.jpg:anger,,,,anger,15,
andyface_resize_frame00306.jpg:anger,nortonface_norton_frame03621.jpg:disgust,face_bogs_frame06856.jpg:fear,face_red_frame01764.jpg:fear,,,,disgust,23,
andyface_resize_frame00307.jpg:anger,nortonface_norton_frame03632.jpg:anger,face_bogs_frame06857.jpg:surprise,face_red_frame01765.jpg:fear,,,,fear,84,
andyface_resize_frame00308.jpg:disgust,nortonface_norton_frame03633.jpg:fear,face_bogs_frame06858.jpg:fear,face_red_frame01766.jpg:fear,,,,happy,2,
