scene_number,scene_start,neutral,happy,sad,surprise,fear,disgust,anger,contempt,emotion_sum
1,0,0,0,4,0,0,0,1,0,5
2,293,66,0,9,0,0,0,81,0,156
3,528,0,0,0,0,0,0,0,0,0
4,570,0,0,1,0,0,0,49,0,50
5,636,0,0,28,0,1,0,3,0,32
6,710,38,0,26,0,0,0,81,0,145
7,1060,4,0,9,0,48,0,5,0,66
8,1304,0,0,21,0,0,0,2,0,23
9,1426,0,0,0,0,0,0,0,0,0
10,1540,0,0,4,0,14,0,5,0,23
11,1660,0,0,0,0,0,0,0,0,0
12,1959,0,0,0,0,0,0,0,0,0
13,2589,0,0,8,0,0,0,1,0,9
14,2642,0,0,2,0,0,0,31,0,33
15,3420,0,0,0,0,0,0,24,0,24
16,3477,0,0,1,0,0,0,0,0,1
17,3955,0,0,5,0,0,0,15,0,20
18,4382,0,0,0,0,0,0,0,0,0
19,4431,0,0,0,0,0,0,0,0,0
20,4470,0,0,0,0,0,0,0,0,0
21,4512,0,0,0,0,0,0,0,0,0
22,4757,0,0,0,0,0,0,0,0,0
23,5076,0,0,0,0,0,0,0,0,0
24,5574,0,0,0,0,0,0,0,0,0
25,5648,2,0,1,0,0,0,2,0,5
26,5843,0,0,48,0,0,0,78,0,126
27,6776,4,0,0,0,0,0,27,0,31
28,6972,0,0,0,0,0,0,5,0,5
29,7026,29,14,29,0,0,0,289,0,361
30,8365,0,0,0,0,0,0,0,0,0
31,8594,0,0,0,0,0,0,0,0,0
32,8682,1,3,5,0,0,0,3,0,12
33,8941,4,0,3,0,0,0,23,0,30
34,9029,2,0,1,0,0,0,0,0,3
35,9386,1,0,0,0,0,0,10,0,11
36,9473,0,0,0,0,0,0,0,0,0
37,9511,2,0,0,0,0,0,8,0,10
38,9620,0,0,0,0,0,0,8,0,8
39,9724,0,0,0,0,0,0,0,0,0
40,9769,0,4,0,0,0,0,0,0,4
41,9838,23,0,3,0,0,0,298,0,324
42,10878,0,30,0,0,0,0,0,0,30
43,11314,135,31,0,1,0,0,16,0,183
44,11719,0,0,0,0,0,0,0,0,0
45,11991,99,52,2,35,42,0,11,0,241
46,12463,2,0,1,0,0,0,3,0,6
47,12494,3,0,14,0,0,0,133,0,150
48,13011,0,0,0,0,0,0,0,0,0
49,13093,0,0,0,0,0,0,0,0,0
50,13348,0,0,0,0,0,0,0,0,0
51,13405,0,0,0,0,0,0,0,0,0
52,13531,0,0,0,0,0,0,0,0,0
53,13869,0,0,0,0,0,0,0,0,0
54,13966,6,0,21,0,0,0,3,0,30
55,14132,0,0,0,0,0,0,0,0,0
56,14235,75,0,23,0,0,0,121,0,219
57,15067,0,0,3,0,0,0,51,0,54
58,15251,27,1,5,0,2,0,42,0,77
59,15640,1,0,1,0,0,0,31,0,33
60,15965,43,16,49,0,0,0,29,0,137
61,16337,5,0,2,0,0,0,26,0,33
62,16474,0,0,0,0,0,0,0,0,0
63,16500,17,0,5,0,0,0,0,0,22
64,16541,0,0,0,0,0,0,0,0,0
65,16608,0,0,0,0,0,0,0,0,0
66,16641,4,0,0,0,0,0,0,0,4
67,16830,2,0,8,0,0,0,0,0,10
68,16855,0,0,0,0,0,0,0,0,0
69,16890,1,0,0,1,7,0,52,0,61
70,17323,0,0,0,0,0,0,0,0,0
71,17797,0,0,0,0,0,0,0,0,0
72,17966,0,0,0,0,0,0,0,0,0
73,18092,0,0,0,0,0,0,0,0,0
74,18141,0,0,0,0,0,0,0,0,0
75,18318,0,0,0,0,0,0,0,0,0
76,18415,0,0,0,0,0,0,0,0,0
77,18538,0,0,0,0,0,0,0,0,0
78,18653,0,0,0,0,0,0,0,0,0
79,18785,0,0,0,0,0,0,0,0,0
80,19260,0,0,0,0,0,0,28,0,28
81,19389,21,75,20,0,0,0,102,0,218
82,19843,24,3,27,0,0,0,1,0,55
83,20678,25,21,10,0,0,0,21,0,77
84,20978,13,1,5,0,0,0,164,0,183
85,21567,0,0,0,0,0,0,0,0,0
86,21826,4,0,6,0,0,0,0,0,10
87,22176,3,0,22,0,0,0,21,0,46
88,22631,0,0,0,0,0,0,5,0,5
89,22718,37,0,0,0,0,0,5,0,42
90,23022,0,0,0,0,0,0,0,0,0
91,23116,0,0,0,0,0,0,0,0,0
92,23322,0,0,0,0,0,0,0,0,0
93,23663,0,0,0,0,0,0,37,0,37
94,24001,72,183,8,9,5,0,63,0,340
95,24689,54,7,3,0,0,0,7,0,71
96,24854,0,0,0,0,0,0,0,0,0
97,24927,0,0,0,0,0,0,0,0,0
98,25035,22,0,1,0,0,0,50,0,73
99,25434,2,5,2,0,0,0,58,0,67
100,25757,3,0,0,0,0,0,0,0,3
101,25806,3,0,0,0,0,0,0,0,3
102,25845,0,0,0,0,0,0,0,0,0
103,25905,0,0,0,0,0,0,0,0,0
104,26119,10,0,1,0,0,0,2,0,13
105,26491,0,0,0,0,0,0,0,0,0
106,26697,0,0,0,0,0,0,50,0,50
107,27023,0,0,0,0,0,0,20,0,20
108,27312,4,0,5,0,45,0,127,0,181
109,27864,1,0,0,0,0,0,0,0,1
110,28200,19,0,3,0,0,0,0,0,22
111,28345,0,0,0,0,0,0,0,0,0
112,28409,0,0,0,0,0,0,0,0,0
113,29095,0,0,0,0,0,0,0,0,0
114,29145,0,0,0,0,0,0,0,0,0
115,29200,0,0,0,0,0,0,0,0,0
116,29851,95,181,140,0,0,0,563,0,979
117,31875,0,0,0,0,0,0,0,0,0
118,32136,1,2,1,0,0,0,18,0,22
119,32460,0,0,0,0,0,0,2,0,2
120,32518,0,0,2,0,0,0,32,0,34
121,32570,4,0,0,0,0,0,26,0,30
122,32894,0,0,0,0,0,0,0,0,0
123,33201,0,0,0,0,0,0,0,0,0
124,33285,0,0,0,0,0,0,0,0,0
125,33351,0,0,0,0,0,0,0,0,0
126,34015,0,0,0,0,0,0,0,0,0
127,34146,0,0,0,0,0,0,0,0,0
128,34212,1,0,44,0,0,0,5,0,50
129,34483,6,0,1,0,0,0,0,0,7
130,34541,5,2,0,0,0,0,5,0,12
131,34731,15,0,2,0,0,0,2,0,19
132,34770,0,0,0,0,0,0,30,0,30
133,34837,26,0,1,0,1,0,16,0,44
134,35020,2,1,2,0,2,0,0,0,7
135,35371,0,0,0,0,0,0,0,0,0
136,35516,0,0,0,0,0,0,0,0,0
137,35837,0,0,0,0,0,0,0,0,0
138,35866,0,0,0,0,0,0,0,0,0
139,35929,8,47,3,0,0,0,0,0,58
140,36149,0,0,0,0,0,0,0,0,0
141,36215,0,0,0,0,0,0,0,0,0
142,36282,0,0,0,0,0,0,0,0,0
143,36308,0,0,0,0,0,0,0,0,0
144,36438,0,0,0,0,0,0,0,0,0
145,36516,0,0,0,0,0,0,0,0,0
146,36615,0,0,0,0,0,0,0,0,0
147,36906,1,0,0,0,0,0,0,0,1
148,37050,0,0,0,0,0,0,0,0,0
149,37115,0,0,0,0,0,0,0,0,0
150,37414,0,0,0,0,0,0,0,0,0
151,38189,0,0,0,0,0,0,0,0,0
152,38382,0,0,0,0,0,0,0,0,0
153,38485,0,0,0,0,0,0,0,0,0
154,39003,0,0,0,0,0,0,0,0,0
155,39626,0,0,0,0,0,0,0,0,0
156,40598,0,0,0,0,0,0,0,0,0
157,40719,0,0,0,0,0,0,0,0,0
158,40794,0,0,0,0,0,0,0,0,0
159,40972,2,4,0,0,0,0,0,0,6
,,1079,683,651,46,167,0,3027,0,
