frame_all		Andy_frames_unique	Andy_size	Tommy_frame	Tommy_size	Red_frames	Red_size	Norton_frames	Norton_size	Bogs_frames	Bogs_size	Skeet_frames	Skeet_size	"start scene: 0, andy mean size: 223.0"	223	"start scene: 0, tommy mean size: 0"	0	"start scene: 0, red mean size: 0"	0
frame00000.jpg		andy_frame00249.jpg	223	tommy_frame24911.jpg	267	red_frame01728.jpg	129	norton_frame03603.jpg	268	bogs_frame05941.jpg	186			"start scene: 293, andy mean size: 261.9807692307692"	261.9807692	"start scene: 293, tommy mean size: 0"	0	"start scene: 293, red mean size: 0"	0
frame00001.jpg		andy_frame00250.jpg	223	tommy_frame24974.jpg	186	red_frame01729.jpg	129	norton_frame03604.jpg	267	bogs_frame05942.jpg	186	skeet_frame02185.jpg	89	"start scene: 528, andy mean size: 0"	0	"start scene: 528, tommy mean size: 0"	0	"start scene: 528, red mean size: 0"	0
frame00002.jpg		andy_frame00252.jpg	223	tommy_frame25035.jpg	186	red_frame01730.jpg	129	norton_frame03605.jpg	268	bogs_frame05948.jpg	186	skeet_frame02187.jpg	90	"start scene: 570, andy mean size: 317.8"	317.8	"start scene: 570, tommy mean size: 0"	0	"start scene: 570, red mean size: 0"	0
frame00003.jpg		andy_frame00254.jpg	223	tommy_frame25036.jpg	223	red_frame01731.jpg	129	norton_frame03606.jpg	268	bogs_frame06783.jpg	74	skeet_frame02188.jpg	74	"start scene: 636, andy mean size: 321.0"	321	"start scene: 636, tommy mean size: 0"	0	"start scene: 636, red mean size: 0"	0
frame00004.jpg		andy_frame00271.jpg	223	tommy_frame25037.jpg	185	red_frame01732.jpg	108	norton_frame03607.jpg	267	bogs_frame06804.jpg	186	skeet_frame02189.jpg	74	"start scene: 710, andy mean size: 229.58620689655172"	229.5862069	"start scene: 710, tommy mean size: 0"	0	"start scene: 710, red mean size: 0"	0
frame00005.jpg		andy_frame00289.jpg	223	tommy_frame25038.jpg	185	red_frame01733.jpg	129	norton_frame03608.jpg	268	bogs_frame06805.jpg	186	skeet_frame02190.jpg	89	"start scene: 1060, andy mean size: 200.88888888888889"	200.8888889	"start scene: 1060, tommy mean size: 0"	0	"start scene: 1060, red mean size: 0"	0
frame00006.jpg		andy_frame00290.jpg	223	tommy_frame25039.jpg	186	red_frame01734.jpg	129	norton_frame03609.jpg	267	bogs_frame06806.jpg	186			"start scene: 1304, andy mean size: 192.43478260869566"	192.4347826	"start scene: 1304, tommy mean size: 0"	0	"start scene: 1304, red mean size: 0"	0
frame00007.jpg		andy_frame00293.jpg	223	tommy_frame25041.jpg	223	red_frame01735.jpg	129	norton_frame03610.jpg	268	bogs_frame06808.jpg	186	skeet_frame03102.jpg	155	"start scene: 1540, andy mean size: 192.9375"	192.9375	"start scene: 1540, tommy mean size: 0"	0	"start scene: 1540, red mean size: 0"	0
frame00008.jpg		andy_frame00294.jpg	223	tommy_frame25043.jpg	186	red_frame01736.jpg	129	norton_frame03611.jpg	321	bogs_frame06809.jpg	185	skeet_frame03103.jpg	155	"start scene: 1660, andy mean size: 0"	0	"start scene: 1660, tommy mean size: 0"	0	"start scene: 1660, red mean size: 187.875"	187.875
frame00009.jpg		andy_frame00295.jpg	223	tommy_frame25044.jpg	186	red_frame01737.jpg	129	norton_frame03612.jpg	267	bogs_frame06810.jpg	186	skeet_frame03104.jpg	155	"start scene: 1959, andy mean size: 0"	0	"start scene: 1959, tommy mean size: 0"	0	"start scene: 1959, red mean size: 180.15384615384616"	180.1538462
frame00010.jpg		andy_frame00296.jpg	223	tommy_frame25046.jpg	155	red_frame01738.jpg	129	norton_frame03613.jpg	268	bogs_frame06811.jpg	223	skeet_frame03105.jpg	155	"start scene: 2589, andy mean size: 186.0"	186	"start scene: 2589, tommy mean size: 0"	0	"start scene: 2589, red mean size: 72.9090909090909"	72.90909091
frame00011.jpg		andy_frame00297.jpg	223	tommy_frame25047.jpg	154	red_frame01739.jpg	129	norton_frame03614.jpg	321	bogs_frame06812.jpg	223	skeet_frame03106.jpg	155	"start scene: 2940, andy mean size: 165.82758620689654"	165.8275862	"start scene: 2940, tommy mean size: 0"	0	"start scene: 2940, red mean size: 264.60674157303373"	264.6067416
frame00012.jpg		andy_frame00298.jpg	223	tommy_frame25048.jpg	186	red_frame01740.jpg	129	norton_frame03615.jpg	267	bogs_frame06813.jpg	223	skeet_frame03107.jpg	155	"start scene: 3477, andy mean size: 267.8333333333333"	267.8333333	"start scene: 3477, tommy mean size: 0"	0	"start scene: 3477, red mean size: 0"	0
frame00013.jpg		andy_frame00299.jpg	223	tommy_frame25050.jpg	155	red_frame01741.jpg	129	norton_frame03616.jpg	267	bogs_frame06844.jpg	321	skeet_frame03108.jpg	155	"start scene: 3955, andy mean size: 264.125"	264.125	"start scene: 3955, tommy mean size: 0"	0	"start scene: 3955, red mean size: 0"	0
frame00014.jpg		andy_frame00300.jpg	223	tommy_frame25051.jpg	154	red_frame01742.jpg	129	norton_frame03617.jpg	268	bogs_frame06845.jpg	321	skeet_frame03122.jpg	186	"start scene: 4382, andy mean size: 0"	0	"start scene: 4382, tommy mean size: 0"	0	"start scene: 4382, red mean size: 0"	0
frame00015.jpg		andy_frame00301.jpg	223	tommy_frame25052.jpg	185	red_frame01743.jpg	129	norton_frame03618.jpg	267	bogs_frame06846.jpg	267	skeet_frame03167.jpg	223	"start scene: 4431, andy mean size: 0"	0	"start scene: 4431, tommy mean size: 0"	0	"start scene: 4431, red mean size: 0"	0
frame00016.jpg		andy_frame00302.jpg	223	tommy_frame25053.jpg	185	red_frame01744.jpg	129	norton_frame03619.jpg	268	bogs_frame06847.jpg	267	skeet_frame03169.jpg	223	"start scene: 4470, andy mean size: 0"	0	"start scene: 4470, tommy mean size: 0"	0	"start scene: 4470, red mean size: 0"	0
frame00017.jpg		andy_frame00303.jpg	223	tommy_frame25093.jpg	186	red_frame01745.jpg	129	norton_frame03620.jpg	267	bogs_frame06848.jpg	267	skeet_frame03170.jpg	223	"start scene: 4756, andy mean size: 0"	0	"start scene: 4756, tommy mean size: 0"	0	"start scene: 4756, red mean size: 0"	0
frame00018.jpg		andy_frame00304.jpg	223	tommy_frame25094.jpg	186	red_frame01746.jpg	107	norton_frame03621.jpg	267	bogs_frame06849.jpg	267	skeet_frame03171.jpg	223	"start scene: 4757, andy mean size: 0"	0	"start scene: 4757, tommy mean size: 0"	0	"start scene: 4757, red mean size: 0"	0
frame00019.jpg		andy_frame00305.jpg	222	tommy_frame25095.jpg	186	red_frame01747.jpg	129	norton_frame03632.jpg	268	bogs_frame06850.jpg	267	skeet_frame03172.jpg	223	"start scene: 4880, andy mean size: 0"	0	"start scene: 4880, tommy mean size: 0"	0	"start scene: 4880, red mean size: 385.0"	385
