scene_number,andy_face,tommy_face,red_face,norton_face,bogs_face,skeet_face
1,223,0,0,0,0,0
2,261.9807692,0,0,0,0,0
3,0,0,0,0,0,0
4,317.8,0,0,0,0,0
5,321,0,0,0,0,0
6,229.5862069,0,0,0,0,0
7,200.8888889,0,0,0,0,0
8,192.4347826,0,0,0,0,0
9,0,0,0,0,0,0
10,192.9375,0,0,0,0,0
11,0,0,187.875,0,0,0
12,0,0,180.1538462,0,0,83.2
13,186,0,0,0,0,0
14,151.3529412,0,243.52,0,0,182.3666667
15,186.3333333,0,0,0,0,0
16,267.8333333,0,0,245.5524862,0,0
17,264.125,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,385,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,271.0666667,0,0,0,0,0
26,290.4603175,0,341.3846154,0,186,134.2
27,296.1428571,0,0,0,249.3913043,0
28,281.25,0,0,0,0,0
29,235.8057743,0,267.6374269,0,44.5,0
30,0,0,312.1666667,0,0,0
31,0,0,256.4310345,0,0,0
32,218.7777778,0,207.1428571,0,0,0
33,234,0,0,0,0,0
34,267,0,0,0,213.78125,0
35,242.5555556,0,0,0,0,0
36,0,0,0,0,0,0
37,230.5,0,0,0,0,0
38,232.7777778,0,185.6666667,226.6666667,0,63
39,0,0,321,0,0,0
40,223,0,185.8,0,0,0
41,203.0262391,0,191.6666667,0,0,0
42,279.7575758,0,356.8222222,0,0,0
43,232.6489362,0,315.96875,0,0,0
44,0,0,0,0,0,0
45,254.7759336,0,198.3333333,0,0,0
46,321,0,0,0,0,0
47,304.9480519,0,0,0,197.0740741,0
48,0,0,0,0,184.6,0
49,0,0,0,0,332.9428571,0
50,0,0,0,0,163.5714286,0
51,0,0,0,0,0,0
52,321,0,0,0,0,0
53,0,0,181.4285714,0,0,0
54,292.25,0,0,0,0,0
55,0,0,0,170.25,0,0
56,284.9719626,0,0,290.7302632,0,0
57,215.0526316,0,0,267.6388889,0,0
58,305.0625,0,0,0,0,0
59,324.0833333,0,0,0,0,0
60,287.1940299,0,285,0,0,0
61,391,0,0,127.4615385,0,0
62,0,0,0,0,0,0
63,188.52,0,0,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,186,0,223,0,0,0
67,185.8,0,0,0,0,0
68,0,0,0,0,0,0
69,182.54,0,263.5517241,0,0,0
70,0,0,193.4137931,0,0,185.3125
71,0,0,0,0,0,0
72,0,0,0,0,0,0
73,0,0,0,0,0,0
74,0,0,0,0,0,0
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,0,0,0,0,0,0
78,0,0,0,0,0,0
79,0,0,0,0,0,0
80,162.3448276,0,0,0,0,0
81,374.2772727,0,0,0,0,0
82,385.0153846,0,321,0,0,129
83,390.0789474,0,0,221.6136364,0,0
84,328.0822785,0,294.6494845,0,0,85.74285714
85,155,0,270.5207101,0,0,0
86,149.2222222,0,172.2758621,0,0,0
87,245.4615385,0,0,0,0,0
88,267.4444444,0,0,0,0,0
89,309.2978723,0,248,0,0,0
90,0,0,0,0,0,0
91,0,0,0,189.9504132,0,0
92,0,0,0,305.5974026,0,0
93,386,0,0,145.7818182,0,0
94,224.505814,0,312.5555556,0,0,0
95,308.2816901,0,388.1724138,0,0,0
96,0,267,0,0,0,0
97,0,186,144.4666667,0,0,0
98,339.7792208,252.620438,194.2222222,0,0,0
99,243.9508197,168.5454545,0,0,0,0
100,294,0,0,0,0,0
101,267,0,0,0,0,0
102,321,0,0,0,0,0
103,0,0,0,0,0,0
104,306.2727273,246.8043478,0,0,0,0
105,0,308.04,267,0,0,0
106,314.62,165.8218182,0,0,0,0
107,321,0,144.2272727,0,0,0
108,272.7405405,0,0,343.7058824,0,0
109,0,205.5625,249.1666667,0,0,0
110,296.9545455,0,0,0,0,0
111,0,0,0,0,0,0
112,0,219.1785714,0,349.8050847,0,0
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,268,0,0,358.0606061,0,0
116,247.4619342,0,371.4205749,0,0,0
117,0,0,472.5714286,0,0,255.1428571
118,221.9117647,0,0,257.3518519,0,0
119,0,0,0,0,0,0
120,222.9714286,0,0,0,0,0
121,241.3636364,0,179.6153846,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,247.5384615,191.1428571,0,0
125,0,0,300.5444444,299.7894737,0,0
126,267,0,0,0,0,0
127,0,0,0,0,0,0
128,221.8372093,0,0,0,0,0
129,263,0,0,0,0,0
130,321,0,0,104,0,0
131,321,0,0,0,0,0
132,301.8709677,0,0,0,0,0
133,318.452381,0,0,0,0,0
134,321,0,0,0,0,0
135,0,0,0,0,0,0
136,321,0,0,0,0,0
137,0,0,0,0,0,0
138,0,0,0,0,0,0
139,299.1333333,0,0,0,0,0
140,0,0,0,0,0,0
141,0,0,0,385,0,0
142,0,0,0,0,0,0
143,0,0,0,374.4347826,0,0
144,321,0,0,0,0,0
145,0,0,0,321,0,0
146,0,0,0,312.4545455,0,0
147,0,0,267.3333333,0,0,0
148,0,0,0,0,0,0
149,0,0,236,0,0,385
150,0,0,228.6031196,0,0,0
151,0,0,143.76,0,0,0
152,0,0,180.7058824,0,0,0
153,0,0,189.6296296,0,0,0
154,0,0,273.76,0,0,0
155,0,0,240.8741007,0,0,0
156,0,0,297.4444444,0,0,0
157,0,0,218.2954545,0,0,0
158,0,0,172.1764706,0,0,0
159,0,0,0,0,0,0
