scene_number,andy_arousal,tommy_arousal,red_arousal,norton_arousal,bogs_arousal,skeet_arousal
1,0.2920698,0,0,0,0,0
2,0.326640813,0,0,0,0,0
3,0,0,0,0,0,0
4,0.399371244,0,0,0,0,0
5,0.254575272,0,0,0,0,0
6,0.364131975,0,0,0,0,0
7,0.361168696,0,0,0,0,0
8,0.097883797,0,0,0,0,0
9,0,0,0,0,0,0
10,0.382175349,0,0,0,0,0
11,0,0,0.246568813,0,0,0
12,0,0,0.28216422,0,0,0
13,0.209316439,0,0,0,0,0
14,0.452253826,0,0.11620245,0,0,0.259146283
15,0.48757349,0,0,0,0,0
16,0.23485327,0,0,0.306769873,0,0
17,0.33895411,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0.249921086,0,0,0,0,0
26,0.381613001,0,0.189932514,0,0,0
27,0.248088195,0,0,0,0.314241634,0
28,0.22087735,0,0,0,0,0
29,0.266063907,0,0.371835997,0,0,0
30,0,0,0,0,0,0
31,0,0,0.164003884,0,0,0
32,0.244587803,0,0,0,0,0
33,0.323259724,0,0,0,0,0
34,0.240089137,0,0,0,0.289165168,0
35,0.415186984,0,0,0,0,0
36,0,0,0,0,0,0
37,0.231155987,0,0,0,0,0
38,0.313764643,0,0,0.352011721,0,0
39,0,0,0,0,0,0
40,0.256285628,0,0,0,0,0
41,0.380545244,0,0,0,0,0
42,0.110232555,0,0.155671773,0,0,0
43,0.295714351,0,0,0,0,0
44,0,0,0,0,0,0
45,0.423984711,0,0,0,0,0
46,0.286882125,0,0,0,0,0
47,0.34386287,0,0,0,0.497726368,0
48,0,0,0,0,0.259037403,0
49,0,0,0,0,0.381978075,0
50,0,0,0,0,0.439781628,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0.231177568,0,0,0,0,0
55,0,0,0,0.37852102,0,0
56,0.202938466,0,0,0.241869426,0,0
57,0.347460531,0,0,0.49646106,0,0
58,0.210072711,0,0,0,0,0
59,0.367181424,0,0,0,0,0
60,0.189355816,0,0,0,0,0
61,0.327108816,0,0,0.192393443,0,0
62,0,0,0,0,0,0
63,0.16252361,0,0,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,0.367276813,0,0,0,0,0
67,0.072620754,0,0,0,0,0
68,0,0,0,0,0,0
69,0.424524115,0,0.226796746,0,0,0
70,0,0,0.318773945,0,0,0.401947068
71,0,0,0,0,0,0
72,0,0,0,0,0,0
73,0,0,0,0,0,0
74,0,0,0,0,0,0
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,0,0,0,0,0,0
78,0,0,0,0,0,0
79,0,0,0,0,0,0
80,0.459468932,0,0,0,0,0
81,0.263175067,0,0,0,0,0
82,0.23009617,0,0,0,0,0
83,0.199348235,0,0,0.232098909,0,0
84,0.373083796,0,0.183993852,0,0,0.397141623
85,0,0,0.097241324,0,0,0
86,0.25368631,0,0.21068967,0,0,0
87,0.236925081,0,0,0,0,0
88,0.315402842,0,0,0,0,0
89,0.209303291,0,0,0,0,0
90,0,0,0,0,0,0
91,0,0,0,0.316738179,0,0
92,0,0,0,0.299019647,0,0
93,0.546765929,0,0,0.323316463,0,0
94,0.269365252,0,0,0,0,0
95,0.224673839,0,0,0,0,0
96,0,0,0,0,0,0
97,0,0,0.16754628,0,0,0
98,0.278514125,0.170917528,0,0,0,0
99,0.306042524,0.226639721,0,0,0,0
100,0.26475912,0,0,0,0,0
101,0.216010967,0,0,0,0,0
102,0,0,0,0,0,0
103,0,0,0,0,0,0
104,0.295618152,0.237266697,0,0,0,0
105,0,0.190549426,0,0,0,0
106,0.480031907,0.270467142,0,0,0,0
107,0.539874389,0,0.285812056,0,0,0
108,0.425208978,0,0,0.319515146,0,0
109,0.36552304,0.204930208,0,0,0,0
110,0.119117789,0,0,0,0,0
111,0,0,0,0,0,0
112,0,0.401831245,0,0.269709356,0,0
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,0,0,0,0.367515802,0,0
116,0.313341904,0,0.139401608,0,0,0
117,0,0,0.184372216,0,0,0.607505385
118,0.342729446,0,0,0.35167747,0,0
119,0.46552715,0,0,0,0,0
120,0.498784014,0,0,0,0,0
