scene_number,arousal_level
1,0.2920698
2,0.326640813
3,0
4,0.399371244
5,0.254575272
6,0.364131975
7,0.361168696
8,0.097883797
9,0
10,0.382175349
11,0
12,0
13,0.209316439
14,0.452253826
15,0.48757349
16,0.23485327
17,0.33895411
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0.249921086
26,0.381613001
27,0.248088195
28,0.22087735
29,0.266063907
30,0
31,0
32,0.244587803
33,0.323259724
34,0.240089137
35,0.415186984
36,0
37,0.231155987
38,0.313764643
39,0
40,0.256285628
41,0.380545244
42,0.110232555
43,0.295714351
44,0
45,0.423984711
46,0.286882125
47,0.34386287
48,0
49,0
50,0
51,0
52,0
53,0
54,0.231177568
55,0
56,0.202938466
57,0.347460531
58,0.210072711
59,0.367181424
60,0.189355816
61,0.327108816
62,0
63,0.16252361
64,0
65,0
66,0.367276813
67,0.072620754
68,0
69,0.424524115
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0.459468932
81,0.263175067
82,0.23009617
83,0.199348235
84,0.373083796
85,0
86,0.25368631
87,0.236925081
88,0.315402842
89,0.209303291
90,0
91,0
92,0
93,0.546765929
94,0.269365252
95,0.224673839
96,0
97,0
98,0.278514125
99,0.306042524
100,0.26475912
101,0.216010967
102,0
103,0
104,0.295618152
105,0
106,0.480031907
107,0.539874389
108,0.425208978
109,0.36552304
110,0.119117789
111,0
112,0
113,0
114,0
115,0
116,0.313341904
117,0
118,0.342729446
119,0.46552715
120,0.498784014
121,0.16309489
122,0
123,0
124,0
125,0
126,0
127,0
128,0.170893103
129,0.06761121
130,0.292938034
131,0.084913965
132,0.480748058
133,0.408463065
134,0.294565539
135,0
136,0
137,0
138,0
139,0.11072719
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0.19368134
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
,
,​
