scene_number	start_frame	Andy_frame	andy_arousal	Tommy_frame	tommy_arousal	Red_frame	red_arousal	Norton_frame	norton_arousal	Bogs_frame	bogs_arousal	Skeet_frame	skeet_arousal	Brooks_frame	brooks_arousal
1	0	andyface_resize_frame00245.jpg	[0.27651808]	face_tommy_frame27006.jpg	[0.49418485]	face_red_frame01728.jpg	[0.23372714]	nortonface_norton_frame23463.jpg	[0.24731095]	face_bogs_frame06804.jpg	[0.22597846]	face_skeet_frame17323.jpg	[0.4707671]	face_brooks_frame15558.jpg	[0.55086017]
2	293	andyface_resize_frame00247.jpg	[0.31330222]	face_tommy_frame26884.jpg	[0.21771078]	face_red_frame01729.jpg	[0.12881738]	nortonface_norton_frame14591.jpg	[0.16170901]	face_bogs_frame06805.jpg	[0.29720068]	face_skeet_frame03373.jpg	[0.18786915]	face_brooks_frame15612.jpg	[0.22889774]
3	528	andyface_resize_frame00252.jpg	[0.28010178]	face_tommy_frame28164.jpg	[0.17551827]	face_red_frame01730.jpg	[0.17061633]	nortonface_norton_frame15012.jpg	[0.07364383]	face_bogs_frame06809.jpg	[0.16955502]	face_skeet_frame17335.jpg	[0.4066515]	face_brooks_frame15538.jpg	[0.5996378]
4	570	andyface_resize_frame00254.jpg	[0.3005247]	face_tommy_frame26250.jpg	[0.31270677]	face_red_frame01734.jpg	[0.38409337]	nortonface_norton_frame14487.jpg	[0.3627435]	face_bogs_frame06811.jpg	[0.14776553]	face_skeet_frame03380.jpg	[0.13270569]	face_brooks_frame15414.jpg	[0.3443041]
5	636	andyface_resize_frame00271.jpg	[0.2743505]	face_tommy_frame26291.jpg	[0.20928548]	face_red_frame01735.jpg	[0.31961927]	nortonface_norton_frame03913.jpg	[0.35965797]	face_bogs_frame06812.jpg	[0.13807529]	face_skeet_frame21051.jpg	[0.38576546]	face_brooks_frame15300.jpg	[0.25102606]
6	710	andyface_resize_frame00293.jpg	[0.05936166]	face_tommy_frame25585.jpg	[0.49858713]	face_red_frame01738.jpg	[0.3834472]	nortonface_norton_frame14617.jpg	[0.21679178]	face_bogs_frame06813.jpg	[0.32967895]	face_skeet_frame17326.jpg	[0.41776842]	face_brooks_frame18195.jpg	[0.34855592]
7	1060	andyface_resize_frame00294.jpg	[0.04171335]	face_tommy_frame25564.jpg	[0.13110851]	face_red_frame01739.jpg	[0.5384859]	nortonface_norton_frame29705.jpg	[0.39221907]	face_bogs_frame06844.jpg	[0.40160978]	face_skeet_frame03400.jpg	[0.39996198]	face_brooks_frame15617.jpg	[0.29427832]
8	1304	andyface_resize_frame00295.jpg	[0.04121176]	face_tommy_frame25541.jpg	[0.2249083]	face_red_frame01740.jpg	[0.2070137]	nortonface_norton_frame23433.jpg	[0.38085216]	face_bogs_frame06845.jpg	[0.31753424]	face_skeet_frame31917.jpg	[0.6279707]	face_brooks_frame15561.jpg	[0.27483562]
9	1426	andyface_resize_frame00296.jpg	[0.05611701]	face_tommy_frame26908.jpg	[0.29375935]	face_red_frame01741.jpg	[0.14194782]	nortonface_norton_frame14503.jpg	[0.2702862]	face_bogs_frame06846.jpg	[0.2827127]	face_skeet_frame03376.jpg	[0.11582106]	face_brooks_frame15335.jpg	[0.15679611]
10	1540	andyface_resize_frame00297.jpg	[0.06203571]	face_tommy_frame26251.jpg	[0.24543409]	face_red_frame01743.jpg	[0.14266595]	nortonface_norton_frame23314.jpg	[0.17900875]	face_bogs_frame06847.jpg	[0.20012584]	face_skeet_frame17337.jpg	[0.52583146]	face_brooks_frame15428.jpg	[0.32226992]
